Date;Google trends;Cours;Nombre utilisateurs;Volume transaction;Recherches Youtube;Revenus des mineurs;News du bitcoin;USA unemployment;Gold price
17/07/2013;9.857142857;8.4204947;26.10961668;39.22390104;10.71428571;8.15180877;3;7.3;1284.25
18/07/2013;9.571428571;7.801236749;26.08704006;35.47489931;10.28571429;7.643822467;3;7.3;1279.75
19/07/2013;9.285714286;7.919611307;23.10500528;30.57455496;9.857142857;7.772452196;3;7.3;1286.0
20/07/2013;9;7.870141343;21.35507734;14.43879829;9.428571429;8.431259876;3;7.3;1286.0
21/07/2013;9.142857143;7.754416961;20.8891344;13.9484633;9;8.517987468;3;7.3;1286.0
22/07/2013;9.285714286;7.803003534;22.13565184;24.19762389;10;8.109155566;3;7.3;1313.75
23/07/2013;9.428571429;8.030035336;26.038044;33.14301723;11;6.815403453;3;7.3;1326.75
24/07/2013;9.571428571;8.045053004;26.18935537;25.3393058;12;7.102100409;3;7.3;1340.0
25/07/2013;9.714285714;8.250883392;24.96781631;19.59847919;13;6.502507354;3;7.3;1312.0
26/07/2013;9.857142857;8.227031802;26.87818234;21.85930134;14;8.423845525;3;7.3;1327.75
27/07/2013;10;8.190812721;20.53511384;15.64413358;15;7.730084199;3;7.3;1327.75
28/07/2013;10;8.554770318;18.03919685;11.07214622;16;8.597348009;3;7.3;1327.75
29/07/2013;10;8.613074205;26.12979153;19.30651089;15.71428571;8.253411897;3;7.3;1330.75
30/07/2013;10;8.847173145;26.69853012;18.36770401;15.42857143;9.283282912;3;7.3;1322.25
31/07/2013;10;9.229681979;33.40858872;28.59700647;15.14285714;10.29590067;3;7.3;1331.5
01/08/2013;10;8.962897527;39.56672111;25.55270028;14.85714286;9.479692012;3;7.2;1323.75
02/08/2013;10;8.951413428;40.72245172;17.48203107;14.57142857;9.877200017;3;7.2;1285.75
03/08/2013;10;8.855123675;25.60572581;22.579132;14.28571429;9.13386441;3;7.2;1285.75
04/08/2013;10;8.903710247;22.29464886;10.07151076;14;8.809907697;3;7.2;1285.75
05/08/2013;10;9.002650177;27.82399846;16.72581171;14.57142857;10.03631179;3;7.2;1311.0
06/08/2013;10;9.020318021;29.52637141;17.41032709;15.14285714;9.952448236;3;7.2;1292.0
07/08/2013;10;8.906360424;30.76568354;15.83391298;15.71428571;9.141613641;3;7.2;1275.5
08/08/2013;10;8.76590106;29.31069267;15.98354673;16.28571429;10.15346822;3;7.2;1287.75
09/08/2013;10;8.613957597;27.81439139;14.803866;16.85714286;10.48519096;3;7.2;1305.5
10/08/2013;10;8.568021201;25.24930349;11.91885428;17.42857143;10.03450953;3;7.2;1305.5
11/08/2013;10.42857143;8.866607774;20.98136228;12.64147581;18;10.92411191;5;7.2;1305.5
12/08/2013;10.85714286;9.014134276;33.90383322;23.79455737;17.71428571;11.79549204;5;7.2;1325.75
13/08/2013;11.28571429;9.029151943;36.12642905;27.80246627;17.42857143;10.12528952;5;7.2;1334.0
14/08/2013;11.71428571;9.559187279;29.1377654;20.25712531;17.14285714;7.60974126;5;7.2;1323.25
15/08/2013;12.14285714;9.300353357;31.91132674;20.42103546;16.85714286;8.141112991;5;7.2;1339.5
16/08/2013;12.57142857;9.18639576;33.36391584;17.21539532;16.57142857;8.364217506;5;7.2;1360.75
17/08/2013;13;9.466431095;28.12277836;11.90060626;16.28571429;9.044269432;4;7.2;1360.75
18/08/2013;13;9.633392226;20.55480834;10.68324875;16;9.61495236;4;7.2;1360.75
19/08/2013;13;9.974381625;31.466039;19.4942508;16;8.949719054;4;7.2;1375.25
20/08/2013;13;10.08303887;33.3653569;22.34716748;16;9.34031625;4;7.2;1365.75
21/08/2013;13;10.17667845;33.99029686;21.00626014;16;11.11795059;4;7.2;1360.0
22/08/2013;13;10.22084806;33.97876837;18.74951696;16;11.36056405;4;7.2;1370.5
23/08/2013;13;10.09893993;33.03103084;18.35589647;16;11.36266338;4;7.2;1374.5
24/08/2013;13;10.11660777;26.25084062;12.19375531;16;9.944991408;4;7.2;1374.5
25/08/2013;12.71428571;10.13162544;23.10740705;11.48991851;16;7.953429375;4;7.2;1374.5
26/08/2013;12.42857143;10.20583039;27.60639831;15.13018351;15.42857143;8.961746968;4;7.2;1374.5
27/08/2013;12.14285714;10.95759717;34.17763474;20.81454861;14.85714286;9.992084178;4;7.2;1411.0
28/08/2013;11.85714286;10.89399293;34.82274954;21.23328696;14.28571429;10.29530737;4;7.2;1425.5
29/08/2013;11.57142857;10.81537102;32.58910558;24.11733261;13.71428571;11.66001126;4;7.2;1406.25
30/08/2013;11.28571429;11.61484099;34.88759727;17.1071953;13.14285714;11.93191686;4;7.2;1392.75
31/08/2013;11;12.04063604;39.52829282;17.40195447;12.57142857;14.02639669;4;7.2;1392.75
01/09/2013;10.85714286;12.15282686;23.55941973;15.82350087;12;14.25194818;3;7.2;1392.75
02/09/2013;10.71428571;12.05123675;25.03506581;14.78207572;12;15.16076165;3;7.2;1391.25
03/09/2013;10.57142857;11.84187279;26.3027188;17.28752866;12;11.86640008;3;7.2;1391.25
04/09/2013;10.42857143;11.42137809;27.9921222;20.87455239;12;10.83297397;3;7.2;1403.75
05/09/2013;10.28571429;10.63162544;30.52262465;21.94678448;12;9.997596215;3;7.2;1391.75
06/09/2013;10.14285714;10.97349823;27.67797099;14.06503594;12;11.44402821;3;7.2;1368.25
07/09/2013;10;10.66696113;27.20482275;12.30903985;12;9.631072435;3;7.2;1368.25
08/09/2013;9.857142857;11.18286219;20.99721395;8.660831594;12;8.677485751;3;7.2;1368.25
09/09/2013;9.714285714;11.21378092;25.68642521;13.5426059;11.71428571;11.54229751;3;7.2;1386.0
10/09/2013;9.571428571;11.545053;26.49678163;16.02079415;11.42857143;11.27964417;3;7.2;1373.0
11/09/2013;9.428571429;11.88427562;28.18330291;15.11676585;11.14285714;12.24183004;3;7.2;1365.25
12/09/2013;9.285714286;11.97173145;31.36708618;15.94544057;10.85714286;13.11271116;3;7.2;1340.25
13/09/2013;9.142857143;11.40812721;28.73907196;14.6314759;10.57142857;13.2267398;3;7.2;1308.25
14/09/2013;9;11.53091873;23.39898165;11.55196177;10.28571429;13.16969226;3;7.2;1308.25
15/09/2013;9;11.60159011;20.61869536;8.463752995;10;11.27519109;3;7.2;1308.25
